compound_ID,SMILES,enzyme_uniprot,enzyme,enzyme_type,rep1,rep2,both_less_05
FLOXURIDINE ,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,P0ACB0,dnaB,DNA helicase,0.457491,0.656150414,0
COLISTIMETHATE SODIUM ,CCC(C)C1NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)CC)NC1=O.[Na+].[Na+].[Na+].[Na+].[Na+],P0ACB0,dnaB,DNA helicase,0.425643866,0.803377948,0
CICLOPIROX OLAMINE ,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,P0ACB0,dnaB,DNA helicase,0.461991138,0.630337795,0
CINOXACIN ,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,P0ACB0,dnaB,DNA helicase,0.450013847,0.508922881,0
NITROXOLINE ,O=[N+]([O-])c1ccc(O)c2ncccc12,P0ACB0,dnaB,DNA helicase,0.669799499,0.499015396,0
BENZALKONIUM CHLORIDE HYDRATE ,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.[Cl-],P0ACB0,dnaB,DNA helicase,0.019133938,0.0194333,1
METHACYCLINE HYDROCHLORIDE ,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12.Cl,P0ACB0,dnaB,DNA helicase,0.165098401,0.121145721,1
HEXACHLOROPHENE ,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,P0ACB0,dnaB,DNA helicase,0.068557345,0.069096099,1
PHENYLMERCURIC ACETATE ,CC(=O)O[Hg]c1ccccc1,P0ACB0,dnaB,DNA helicase,0.388396566,0.441908342,1
DEMECLOCYCLINE HYDROCHLORIDE ,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12.Cl,P0ACB0,dnaB,DNA helicase,0.269246746,0.448890082,1
CHLOROACETOXYQUINOLINE ,CC(=O)Oc1ccc(Cl)c2cccnc12,P0ACB0,dnaB,DNA helicase,0.372403766,0.78138942,0
OXYTETRACYCLINE ,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl,P0ACB0,dnaB,DNA helicase,0.191697417,0.149306591,1
CHLORTETRACYCLINE HYDROCHLORIDE ,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.Cl,P0ACB0,dnaB,DNA helicase,0.453544724,0.485857501,1
DOXYCYCLINE HYDROCHLORIDE ,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.Cl,P0ACB0,dnaB,DNA helicase,0.437274993,1.019440762,0
MINOCYCLINE HYDROCHLORIDE ,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O.Cl,P0ACB0,dnaB,DNA helicase,0.123437934,0.134841933,1
DIHYDROSTREPTOMYCIN SESQUISULFATE [5mM/10% aq DMSO] ,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O.O=S(=O)(O)O,P0ACB0,dnaB,DNA helicase,0.472791471,0.65806246,0
CEFOXITIN SODIUM ,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC21.[Na+],P0ACB0,dnaB,DNA helicase,0.46967599,0.49131758,1
CETYLPYRIDINIUM CHLORIDE ,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],P0ACB0,dnaB,DNA helicase,0.015703676,0.012443581,1
RIFAPENTINE ,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,P0ACB0,dnaB,DNA helicase,0.602130326,0.717973231,0
CEFCAPENE PIVOXIL HYDROCHLORIDE ,CCC=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CSC12)c1csc(N)n1.Cl,P0ACB0,dnaB,DNA helicase,0.365203545,0.342284282,1
RIFAMPIN ,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,P0ACB0,dnaB,DNA helicase,0.486984215,0.946781389,0
TOSUFLOXACIN TOLUENESULFONATE HYDRATE ,Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1.O,P0ACB0,dnaB,DNA helicase,0.470229853,0.546845124,0
CETALKONIUM CHLORIDE ,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],P0ACB0,dnaB,DNA helicase,0.015326032,0.015985456,1
OXYQUINOLINE HEMISULFATE ,O=S(=O)(O)O.Oc1cccc2cccnc12,P0ACB0,dnaB,DNA helicase,0.555764411,0.75111536,0
CHLOROXINE ,Oc1c(Cl)cc(Cl)c2cccnc12,P0ACB0,dnaB,DNA helicase,0.363957353,0.58859146,0
BRD-K78206682,O=C1NC(=O)C=C1,P15042,ligA,DNA ligase,0.89820866,0.797640037,0
BRD-K01666924,CC(C)CCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@@H](C)O ,P15042,ligA,DNA ligase,1.302089554,0.718793147,0
BRD-K20338176,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,P15042,ligA,DNA ligase,0.967093136,1.077398582,0
BRD-A03757454,OC[C@H]1O[C@@H](C[C@H]1O)N1C=C(F)C(=O)NC1=O,P15042,ligA,DNA ligase,0.990909243,0.902792234,0
BRD-K76927775,[O-][N+](=O)c1ccc(o1)/C=N/N1CC(=O)NC1=O,P15042,ligA,DNA ligase,0.969196159,0.74005884,0
BRD-K28935038,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,P15042,ligA,DNA ligase,0.844208727,1.017154158,0
BRD-K62607865,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(n2)N)C(=O)N1S(=O)(=O)O,P15042,ligA,DNA ligase,0.875108922,0.754237738,0
BRD-K34234316,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,P15042,ligA,DNA ligase,0.924605369,0.984952843,0
BRD-K15766189,Nc1nc(cs1)/C(=N/O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,P15042,ligA,DNA ligase,1.023738596,0.817262145,0
BRD-K62328564; TRICLOSAN,Oc1cc(ccc1Oc1ccc(cc1Cl)Cl)Cl,P15042,ligA,DNA ligase,0.675091326,1.037741084,0
BRD-A24252652,CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@]4(O[C@H]([C@@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)O[C@H]23)[C@@H]1O,P15042,ligA,DNA ligase,1.048789646,0.851424262,0
BRD-K00003347,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)Cl,P15042,ligA,DNA ligase,0.904287318,0.811025023,0
BRD-K01825699,C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(c1C)N)[C@H](CC(=O)N)NC[C@@H](N)C(=O)N)[C@@H](O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]1O)c1cnc[nH]1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C ,P15042,ligA,DNA ligase,1.124232465,1.117175452,0
BRD-K22662557,CCCC[P+](CCCC)(CCCC)Cc1ccc(cc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)N/C(=N/C1CCCCC1)NC1CCCCC1,P15042,ligA,DNA ligase,1.144115954,1.011704963,0
BRD-K73425385,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,P15042,ligA,DNA ligase,0.933151518,0.80206364,0
BRD-K01825574,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC1=NC(=O)C(=NN1C)O)c1csc(n1)N,P15042,ligA,DNA ligase,0.991323983,0.931314655,0
BRD-K52735702,Nc1nc(cs1)/C(=N\O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,P15042,ligA,DNA ligase,0.89179067,1.034537383,0
BRD-K47832606,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,P15042,ligA,DNA ligase,0.916461392,0.66066763,0
BRD-K08205503,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(C)CCCC1)c1csc(n1)N,P15042,ligA,DNA ligase,1.076948385,1.147889687,0
BRD-K92544108,CN1N=CN=C2C(=O)N(C)C(=O)N=C12,P15042,ligA,DNA ligase,1.284366071,0.881221191,0
BRD-K82960980,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC(=O)c1ccco1)c1csc(n1)N,P15042,ligA,DNA ligase,0.860957504,0.772152537,0
BRD-K10836013,N[C@@H]1CN(CC21CC2)c1c(cc2c(c1Cl)N(C=C(C(=O)O)C2=O)[C@@H]1C[C@@H]1F)F,P15042,ligA,DNA ligase,0.894488572,0.809710687,0
BRD-K49668410,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,P15042,ligA,DNA ligase,1.005854185,0.796665569,0
BRD-K85146014,OC(=O)P(=O)(O)O,P15042,ligA,DNA ligase,0.973921677,0.768623744,0
BRD-K00003588,C[C@@H](O)[C@@H](NC(=O)[C@H](C)[C@@H](O)[C@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(c1C)N)[C@H](CC(=O)N)NC[C@@H](N)C(=O)N)[C@@H](O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCC[S+](C)C ,P15042,ligA,DNA ligase,1.319405355,1.209476245,0
BRD-K00003240,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)[C@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)NC(=O)CN1CCCC1)F,P15042,ligA,DNA ligase,0.948094711,0.948223124,0
BRD-K33457401; BRONOPOL,OCC(Br)(CO)[N+](=O)[O-],P15042,ligA,DNA ligase,0.818876098,0.975848079,0
BRD-K32972113,OCCN(CCO)c1ccc(c2no[n+](c12)[O-])[N+](=O)[O-],P15042,ligA,DNA ligase,1.59773128,1.382218007,0
BRD-K00003117,Nc1nc(ns1)/C(=N/O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)/C=C/1\CCN([C@@H]2CCNC2)C1=O,P15042,ligA,DNA ligase,0.979820196,0.821706991,0
BRD-K22442616,ONC(=O)c1cn(nn1)-c1cccc(c1)C(=O)N1CCC2(CC1)N(CNC2=O)c1ccccc1,P15042,ligA,DNA ligase,0.186784538,0.222680023,1
BRD-K27798832,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C)c1csc(n1)N,P15042,ligA,DNA ligase,0.965027817,0.843888735,0
BRD-K35932154,CN1SC=CC1=O,P15042,ligA,DNA ligase,0.963037905,1.037957245,0
BRD-K00003353,CN(C)[C@H]1[C@@H]2C[C@H]3[C@H](C(=O)c4c(ccc(c4[C@@]3(C)O)Cl)O)C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O,P15042,ligA,DNA ligase,0.985748039,0.876208127,0
BRD-K23677682,CN[C@H]1CN(C[C@@H]1OC)c1ccc2c(n1)N(C=C(C(=O)O)C2=O)c1nccs1,P15042,ligA,DNA ligase,0.762119613,0.64925282,0
BRD-K00025625,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)[C@H](C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c2c(cccc21)O)O,P15042,ligA,DNA ligase,0.854811817,1.052662653,0
BRD-K88043978,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,P15042,ligA,DNA ligase,0.984164488,0.758066572,0
BRD-K70366318,COC1=C(N)C(=O)c2nc(ccc2C1=O)-c1nc(c(c(c1N)-c1ccc(c(c1O)OC)OC)C)C(=O)O,P15042,ligA,DNA ligase,0.654195154,0.809089364,0
BRD-K99750640,Cc1nnc(s1)SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cn1cnnn1)C2=O)C(=O)O,P15042,ligA,DNA ligase,1.083549989,0.88973384,0
BRD-K80694030,CCCC[P+](CCCC)(CCCC)Cc1ccc(cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)N=C(NC1CCCCC1)NC1CCCCC1,P15042,ligA,DNA ligase,0.994076346,0.80028464,0
BRD-K85490921,CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C=Cc1scnc1C)c1csc(n1)N,P15042,ligA,DNA ligase,0.973758295,0.825235784,0
BRD-K00494077,N[C@@H]1[C@H]2CN(C[C@@H]12)c1nc2c(cc1F)C(=O)C(=CN2c1ccc(cc1F)F)C(=O)O,P15042,ligA,DNA ligase,1.09559452,0.977088068,0
BRD-K92872987,CC1=CC(=O)C(=CN1)C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)c1ccc(cc1)O,P15042,ligA,DNA ligase,0.850547121,0.87292627,0
BRD-K02558072,COC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],P15042,ligA,DNA ligase,0.963146826,0.973676105,0
BRD-K80622725,CN1N=C(C)N=C2C(=O)N(C)C(=O)N=C12,P15042,ligA,DNA ligase,0.864614753,0.78958143,0
BRD-K05619559,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,P15042,ligA,DNA ligase,0.933394497,0.88606432,0
BRD-K00003130,NC[C@H]1O[B](O)c2c(cccc21)OCCCO,P15042,ligA,DNA ligase,0.981860379,0.791732162,0
BRD-K53123955,[O-][N+](=O)c1cnc(s1)N1CCNC1=O,P15042,ligA,DNA ligase,0.939925598,0.764579837,0
BRD-K01825576,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=C(C(=O)N)C1=O)O)C(=O)c1c(cccc1[C@]3(C)O)O,P15042,ligA,DNA ligase,1.136870639,0.991667906,0
BRD-A08641215,CC[C@@H](C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O ,P15042,ligA,DNA ligase,1.03251451,0.369314431,0
BRD-K79092138,NC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],P15042,ligA,DNA ligase,1.155552536,0.792271173,0
BRD-K46970505,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[n+]1ccn2ncccc12)c1nsc(n1)N,P15042,ligA,DNA ligase,1.008100018,0.773092487,0
BRD-K52117081,CC(C)(O/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[n+]1ccccc1)c1csc(n1)N)C(=O)O,P15042,ligA,DNA ligase,0.922879382,0.79767721,0
BRD-K00003661,CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)c1csc(n1)N,P15042,ligA,DNA ligase,0.784209733,0.714465132,0
BRD-K11905747,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,P15042,ligA,DNA ligase,1.185266907,1.06289643,0
BRD-K56735750,COC(=O)N/N=C/c1c[n+](c2ccccc2[n+]1[O-])[O-],P15042,ligA,DNA ligase,0.833044272,1.033424315,0
BRD-K00003257,CC(C)(O/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(CCCC1)CCNC(=O)c1ccc(c(c1Cl)O)O)c1csc(n1)N)C(=O)O,P15042,ligA,DNA ligase,0.974072491,0.892099645,0
BRD-K71059170,Nc1nc(cs1)/C(=N/OCC(=O)O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,P15042,ligA,DNA ligase,1.059507419,0.822076067,0
BRD-K72903603,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,P15042,ligA,DNA ligase,1.039763401,0.823932069,0
BRD-K63550407,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,P15042,ligA,DNA ligase,0.954579731,0.886247531,0
BRD-K46982791,Oc1ccc(c2cccnc12)Cl,P15042,ligA,DNA ligase,0.857048897,1.196509805,0
BRD-K51677086,CCOC(=O)CCC(=O)O[C@H]1[C@@H](O[C@H](C)C[C@@H]1N(C)C)O[C@@H]1[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]1(C)O,P15042,ligA,DNA ligase,0.939184094,1.025736077,0
BRD-K74501079,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,P15042,ligA,DNA ligase,0.932095817,0.810278905,0
BRD-K00003346,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)N(C)C,P15042,ligA,DNA ligase,0.834426738,0.839895278,0
BRD-A41020680,CN(C)[C@@H]1[C@H]2C[C@H]3Cc4c(ccc(c4C(=O)[C@@H]3C(=O)[C@@]2(O)C(=C(C(=O)N)C1=O)O)O)N(C)C,P15042,ligA,DNA ligase,0.713720759,0.68386367,0
BRD-K66412701,C[C@H]1COc2c3c(cc(c2C2(N)CC2)F)C(=O)C(=CN13)C(=O)O,P15042,ligA,DNA ligase,0.853374891,0.748627249,0
BRD-A20863183,CO[C@@H]1[C@@H](OC(=O)c2ccc([nH]2)C)[C@@H](O)[C@H](CC1(C)C)Oc1ccc2c(c1C)OC(=O)[C@@H](C2)NC(=O)c1[nH]cc(c1C)CC(=O)NC1=Cc2ccc(c(c2OC1=O)C)O[C@@H]1OC(C)(C)[C@H](OC)[C@@H](OC(=O)c2ccc([nH]2)C)[C@H]1O ,P15042,ligA,DNA ligase,0.84360547,0.825453512,0
BRD-A48237631,CO[C@]12[C@@H]3N[C@@H]3CN2C2=C([C@@H]1COC(=O)N)C(=O)C(=C(C)C2=O)N ,P15042,ligA,DNA ligase,0.866294658,0.822673492,0
BRD-K37908742,CN1C(=O)[C@@]23CC4=CC=C[C@H](O)[C@H]4N3C(=O)[C@@]1(CO)SS2,P15042,ligA,DNA ligase,1.090441263,1.037050659,0
BRD-K73629461,CC(=O)ON1C=C(F)C(=O)NC1=O,P15042,ligA,DNA ligase,1.139931838,0.817262145,0
BRD-K00003569,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)[C@H]3C(=O)[C@]2(O)C(=O)[C@@H](C(=O)N)C1=O)O)CNCC(C)(C)C)N(C)C,P15042,ligA,DNA ligase,0.848946813,0.874774306,0
BRD-K00004533,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(c1C)N)[C@H](CC(=O)N)NC[C@H](N)C(=O)N)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCCNCCCCN ,P15042,ligA,DNA ligase,0.917969535,0.704638146,0
BRD-K00003362,COC1=C(OC)C(=O)C(=C(C)C1=O)CCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,P15042,ligA,DNA ligase,0.719598331,0.690159207,0
BRD-K00003351,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3[C@H](C(=O)c4c(cccc4C3=C)O)C(=O)[C@]2(O)C(=O)[C@@H](C(=O)N)C1=O,P15042,ligA,DNA ligase,0.914672565,0.780792638,0
BRD-K47079459,CCCCCCCCCCCCCCCC[N+](C)(C)C,P15042,ligA,DNA ligase,0.362277017,0.551553837,0
BRD-K00003142,N[C@@H]1CC[C@@H](c2ccc(c(c2)Cl)Cl)c2ccccc21,P15042,ligA,DNA ligase,0.78345985,0.901063683,0
BRD-K36990484,CCN1C=C(C(=O)O)C(=O)c2cc(c(cc21)N1CCN(CC1)C(=S)Nc1cc(ccc1Cl)C(F)(F)F)F,P15042,ligA,DNA ligase,0.824112709,0.875100899,0
BRD-K00004708,NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,P15042,ligA,DNA ligase,1.131982019,1.02226782,0
BRD-K60663764,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,P15042,ligA,DNA ligase,0.90727847,0.9608912,0
BRD-K97348307,OC(=O)C1=C(O)C2=C(CCCC2)NC1=O,P15042,ligA,DNA ligase,1.419344918,0.944813816,0
BRD-K00004694,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OCOC(=O)[C@@H]1N2[C@@H](CC2=O)S(=O)(=O)C1(C)C,P15042,ligA,DNA ligase,0.724868456,0.758762241,0
BRD-M15413738,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)CO)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]1NC(=N)N.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)CO)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]1NC(=N)N ,P15042,ligA,DNA ligase,1.31750641,0.872206704,0
BRD-K00003370,OC[C@H]1CN(C(=O)O1)c1ccc(c(c1)F)OCC1(O)CCN(CC1)c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,P15042,ligA,DNA ligase,0.908627421,0.904927034,0
BRD-K00003489,CCCN1C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@H]1C,P15042,ligA,DNA ligase,0.811938635,0.791806508,0
BRD-K00003215,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)OS(=O)(=O)O,P15042,ligA,DNA ligase,0.644480193,0.778639251,0
BRD-K00004538,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,P15042,ligA,DNA ligase,0.95711844,0.867334367,0
BRD-K00003300,NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N ,P15042,ligA,DNA ligase,1.425374335,0.817583427,0
BRD-K00003124,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCNCCCN)OS(=O)(=O)O,P15042,ligA,DNA ligase,0.605729271,0.741617457,0
BRD-A40787240,CO/N=C/1\CN(C[C@@H]1CN)c1nc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,P15042,ligA,DNA ligase,0.991022354,0.791400259,0
BRD-K87700323,CCCCCCCCCCCCCCCC[n+]1ccccc1,P15042,ligA,DNA ligase,0.127116983,0.140427966,1
